"idpunto","lat","lon","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","WGRU_CODE"
4638,46.6486057,11.27196599,1.50889137,0.23503756,0.089249422,NA,NA,NA,NA,NA,"Fs"
4646,46.64496604,11.3753885,0,1.48658554,0.072100139,NA,NA,NA,NA,NA,"FT"
4668,46.64626386,11.65791963,0,0.443820226,0,NA,NA,NA,NA,NA,"Fi"
4797,46.63576134,11.04431085,0,1.681917064,0.112395329,NA,NA,NA,NA,NA,"FT"
4804,46.63934771,11.13381908,0,0.162650726,0.230345795,NA,NA,NA,NA,NA,"MH"
4849,46.64004661,11.72969931,0.14603888,0.092254496,0.024040776,NA,NA,NA,NA,NA,"Fi"
4964,46.62548779,10.8671568,0,0,0,0.04159063,3.456955542,4.771923453,38.06595863,29.23794356,"Ki"
4978,46.6287396,11.0437682,0.323266548,0.413005395,1.159131643,0.904548265,15.86084896,65.33040464,52.77897032,54.74764445,"FT"
4998,46.62486271,11.31379902,0,0.325572463,0.127211159,NA,NA,NA,NA,NA,"Fs"
4999,46.62745499,11.32564979,0,0.43728885,0.041678234,NA,NA,NA,NA,NA,"Fs"
5028,46.62567193,11.70043146,0.286149949,1.806873961,0,NA,NA,NA,NA,NA,"Fs"
5031,46.62765247,11.74378101,1.705414939,0.916961442,0.103573454,NA,NA,NA,NA,NA,"Zi"
5047,46.62938521,11.94694154,0,0.144493282,0.120399755,NA,NA,NA,NA,NA,"Zi"
5142,46.61555745,10.77696702,5.794209246,0.022690126,0.225605632,NA,NA,NA,NA,NA,"EK"
5153,46.61622486,10.91938163,0.208861922,1.600686297,0.029932264,NA,NA,NA,NA,NA,"Fi"
5157,46.61910804,10.96756479,1.592962753,0.060693811,0.160828806,NA,NA,NA,NA,NA,"FT"
5161,46.62173907,11.02275469,1.700712509,2.300963469,0.875418105,NA,NA,NA,NA,NA,"FT"
5212,46.61783626,11.68392187,0.154286909,1.229310023,0.326221525,NA,NA,NA,NA,NA,"Fs"
5226,46.61873398,11.86564083,0.816973814,2.655950345,0,NA,NA,NA,NA,NA,"Fs"
5315,46.60682383,10.57621867,0,0.219237618,0,NA,NA,NA,NA,NA,"Fi"
5359,46.60778651,11.14811585,1.780335434,0.806694411,0.832415294,1.67907307,3.716304773,0,25.49643057,30.23023007,"MH"
5415,46.6059706,11.87927116,0,0.098841574,0.083460442,NA,NA,NA,NA,NA,"Fi"
5511,46.59931976,10.59751313,0,2.175157582,0.037316211,NA,NA,NA,NA,NA,"FT"
5528,46.60100999,10.81842378,0.511102578,0.710494282,0.855334796,NA,NA,NA,NA,NA,"FT"
5554,46.59718186,11.15854567,8.094344353,0.105152728,0.084526369,0.953873733,3.0706324,3.339180757,30.65854088,21.43203277,"MH"
5711,46.59378106,10.51261945,0,0.529617548,0,NA,NA,NA,NA,NA,"Zi"
5715,46.59024561,10.56479918,0,2.124967873,0.121735511,NA,NA,NA,NA,NA,"FT"
5716,46.58644755,10.58407143,0,1.659044887,1.479501695,NA,NA,NA,NA,NA,"Zi"
5719,46.59469871,10.61640378,0,0.070692023,0.090821832,0,5.467566571,28.98425039,39.41685108,59.30652071,"Zi"
5722,46.59449433,10.66361042,1.247799824,0.204833526,0.417698748,NA,NA,NA,NA,NA,"Fs"
5754,46.58849897,11.07612444,0,0.741284747,0.238460236,NA,NA,NA,NA,NA,"Fi"
5773,46.59143274,11.32522455,0.235589241,0.616707909,0.368445208,NA,NA,NA,NA,NA,"Fi"
5775,46.58987292,11.34574835,0,1.35351222,0,NA,NA,NA,NA,NA,"FT"
5801,46.59445445,11.68656312,0,0.28924996,0.059239515,NA,NA,NA,NA,NA,"Fs"
5963,46.58474709,11.01078514,0,0.050283017,3.006325879,NA,NA,NA,NA,NA,"Fs"
5983,46.58578567,11.27620189,0.313884362,0.874261276,0.236276879,NA,NA,NA,NA,NA,"Fi"
5997,46.58406654,11.45709886,0,0,0,NA,NA,NA,NA,NA,"Fs"
6004,46.58001395,11.53993848,0,4.37638171,0,NA,NA,NA,NA,NA,"Fi"
6151,46.57179916,10.57369688,0,0.071004098,5.539118161,NA,NA,NA,NA,NA,"Zi"
6185,46.57461117,11.0082093,0,0.045684306,0,NA,NA,NA,NA,NA,"Fs"
6203,46.57228463,11.25058958,2.937968622,1.431177664,0.679027199,0,5.727780365,3.778730856,17.40565912,29.14570271,"Bu"
6205,46.57118193,11.26800773,0,0.674963412,0,NA,NA,NA,NA,NA,"Bu"
6206,46.57284778,11.28950361,0,0.372938757,0,NA,NA,NA,NA,NA,"Fi"
6214,46.56877534,11.38604635,1.536210939,0.012363618,0.368804472,NA,NA,NA,NA,NA,"EK"
6408,46.56132685,10.98925699,0.751589603,0.955343114,0.628469774,NA,NA,NA,NA,NA,"Fs"
6410,46.56570579,11.01455548,16.57293549,0.280238136,0.868286148,NA,NA,NA,NA,NA,"Fs"
6431,46.56577091,11.28020697,0.043915291,0.359546159,0.974378759,NA,NA,NA,NA,NA,"FT"
6478,46.5614715,11.90152264,0,0,2.35e-05,NA,NA,NA,NA,NA,"Zi"
6627,46.55331663,10.75866738,0,0.501522148,0,NA,NA,NA,NA,NA,"Zi"
6658,46.55614382,11.16838229,9.242007115,0.770366094,9.33e-05,NA,NA,NA,NA,NA,"Bu"
6676,46.55666352,11.40781835,0.467740553,1.247456418,0.049193865,0.536916311,4.278848422,0,32.2791377,31.15096424,"Ei"
6681,46.55621799,11.46494315,0,0.04809036,0,NA,NA,NA,NA,NA,"Ki"
6701,46.55563498,11.72546234,0,0.065438704,0,NA,NA,NA,NA,NA,"Fs"
6717,46.55674949,11.93785316,0,0,0,NA,NA,NA,NA,NA,"Fs"
6903,46.54396647,11.02576269,0,0.470347251,0.056274178,NA,NA,NA,NA,NA,"FT"
6913,46.54281445,11.15860814,0.450106383,1.374898438,0.141853057,1.667631934,4.224036779,3.113000221,30.1638841,36.82299052,"Ftb"
6974,46.54678526,11.95069454,0.958134142,2.176941894,0.929099965,NA,NA,NA,NA,NA,"Fs"
7152,46.53716733,10.76357191,0,0.521769451,0.023653443,NA,NA,NA,NA,NA,"Fs"
