X,idpunto,WGRU_CODE,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,elevation,slope,aspect,ele_cat,slope_cat,asp_cat
135,4797,FT,0,1.681917064,0.112395329,NA,NA,NA,NA,NA,996,24,348,4,3,1
136,4804,MH,0,0.162650726,0.230345795,NA,NA,NA,NA,NA,515,20,95,2,2,3
137,4849,Fi,0.14603888,0.092254496,0.024040776,NA,NA,NA,NA,NA,1561,35,249,6,4,7
138,4964,Ki,0,0,0,0.04159063,3.456955542,4.771923453,38.06595863,29.23794356,822,34,190,3,4,5
139,4978,FT,0.323266548,0.413005395,1.159131643,0.904548265,15.86084896,65.33040464,52.77897032,54.74764445,1306,28,311,5,3,8
140,4998,Fs,0,0.325572463,0.127211159,NA,NA,NA,NA,NA,1852,12,222,6,2,6
141,4999,Fs,0,0.43728885,0.041678234,NA,NA,NA,NA,NA,1773,13,136,6,2,4
142,5028,Fs,0.286149949,1.806873961,0,NA,NA,NA,NA,NA,1802,23,28,6,3,2
143,5031,Zi,1.705414939,0.916961442,0.103573454,NA,NA,NA,NA,NA,1778,30,355,6,3,1
144,5047,Zi,0,0.144493282,0.120399755,NA,NA,NA,NA,NA,2000,5,321,6,0,8
145,5142,EK,5.794209246,0.022690126,0.225605632,NA,NA,NA,NA,NA,736,29,13,3,3,1
146,5153,Fi,0.208861922,1.600686297,0.029932264,NA,NA,NA,NA,NA,910,23,22,4,3,1
147,5157,FT,1.592962753,0.060693811,0.160828806,NA,NA,NA,NA,NA,1358,25,347,5,3,1
148,5161,FT,1.700712509,2.300963469,0.875418105,NA,NA,NA,NA,NA,1505,20,269,6,2,7
149,5212,Fs,0.154286909,1.229310023,0.326221525,NA,NA,NA,NA,NA,1935,23,287,6,3,7
150,5226,Fs,0.816973814,2.655950345,0,NA,NA,NA,NA,NA,1788,17,317,6,2,8
151,5315,Fi,0,0.219237618,0,NA,NA,NA,NA,NA,1140,17,8,4,2,1
152,5359,MH,1.780335434,0.806694411,0.832415294,1.67907307,3.716304773,0,25.49643057,30.23023007,384,22,18,2,3,1
