"","idpunto","lat","lon","WGRU_CODE","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","elevation","slope","aspect","ele_cat","slope_cat","asp_cat"
"171",6185,46.57461117,11.0082093,"Fs",0,0.045684306,0,NA,NA,NA,NA,NA,2073,33,134,8,4,4
"172",6203,46.57228463,11.25058958,"Bu",2.937968622,1.431177664,0.679027199,0,5.727780365,3.778730856,17.40565912,29.14570271,925,14,242,4,2,6
"173",6205,46.57118193,11.26800773,"Bu",0,0.674963412,0,NA,NA,NA,NA,NA,1203,10,284,5,1,7
"174",6206,46.57284778,11.28950361,"Fi",0,0.372938757,0,NA,NA,NA,NA,NA,1477,7,247,5,1,6
"175",6214,46.56877534,11.38604635,"EK",1.536210939,0.012363618,0.368804472,NA,NA,NA,NA,NA,1018,25,268,4,3,7
"176",6408,46.56132685,10.98925699,"Fs",0.751589603,0.955343114,0.628469774,NA,NA,NA,NA,NA,1849,29,113,7,3,4
"177",6410,46.56570579,11.01455548,"Fs",16.57293549,0.280238136,0.868286148,NA,NA,NA,NA,NA,1662,22,157,6,3,4
"178",6431,46.56577091,11.28020697,"FT",0.043915291,0.359546159,0.974378759,NA,NA,NA,NA,NA,1385,12,244,5,2,6
"179",6478,46.5614715,11.90152264,"Zi",0,0,2.35e-05,NA,NA,NA,NA,NA,1995,23,301,7,3,8
"180",6627,46.55331663,10.75866738,"Zi",0,0.501522148,0,NA,NA,NA,NA,NA,2139,23,119,8,3,4
"181",6658,46.55614382,11.16838229,"Bu",9.242007115,0.770366094,9.33e-05,NA,NA,NA,NA,NA,792,33,71,3,4,3
"182",6676,46.55666352,11.40781835,"Ei",0.467740553,1.247456418,0.049193865,0.536916311,4.278848422,0,32.2791377,31.15096424,1162,23,205,4,3,6
"183",6681,46.55621799,11.46494315,"Ki",0,0.04809036,0,NA,NA,NA,NA,NA,1279,17,45,5,2,2
"184",6701,46.55563498,11.72546234,"Fs",0,0.065438704,0,NA,NA,NA,NA,NA,1420,24,3,5,3,1
"185",6717,46.55674949,11.93785316,"Fs",0,0,0,NA,NA,NA,NA,NA,1796,15,104,6,2,3
