idpunto,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,WGRU_CODE
5754,0,0.741284747,0.238460236,NA,NA,NA,NA,NA,Fi
5773,0.235589241,0.616707909,0.368445208,NA,NA,NA,NA,NA,Fi
5775,0,1.35351222,0,NA,NA,NA,NA,NA,FT
5801,0,0.28924996,0.059239515,NA,NA,NA,NA,NA,Fs
5963,0,0.050283017,3.006325879,NA,NA,NA,NA,NA,Fs
5983,0.313884362,0.874261276,0.236276879,NA,NA,NA,NA,NA,Fi
5997,0,0,0,NA,NA,NA,NA,NA,Fs
6004,0,4.37638171,0,NA,NA,NA,NA,NA,Fi
6151,0,0.071004098,5.539118161,NA,NA,NA,NA,NA,Zi
6185,0,0.045684306,0,NA,NA,NA,NA,NA,Fs
6203,2.937968622,1.431177664,0.679027199,0,5.727780365,3.778730856,17.40565912,29.14570271,Bu
6205,0,0.674963412,0,NA,NA,NA,NA,NA,Bu
6206,0,0.372938757,0,NA,NA,NA,NA,NA,Fi
6214,1.536210939,0.012363618,0.368804472,NA,NA,NA,NA,NA,EK
6408,0.751589603,0.955343114,0.628469774,NA,NA,NA,NA,NA,Fs
6410,16.57293549,0.280238136,0.868286148,NA,NA,NA,NA,NA,Fs
6431,0.043915291,0.359546159,0.974378759,NA,NA,NA,NA,NA,FT
6478,0,0,2.35E-05,NA,NA,NA,NA,NA,Zi
6627,0,0.501522148,0,NA,NA,NA,NA,NA,Zi
6658,9.242007115,0.770366094,9.33E-05,NA,NA,NA,NA,NA,Bu
6676,0.467740553,1.247456418,0.049193865,0.536916311,4.278848422,0,32.2791377,31.15096424,Ei
6681,0,0.04809036,0,NA,NA,NA,NA,NA,Ki
6701,0,0.065438704,0,NA,NA,NA,NA,NA,Fs
6717,0,0,0,NA,NA,NA,NA,NA,Fs
6903,0,0.470347251,0.056274178,NA,NA,NA,NA,NA,FT
6913,0.450106383,1.374898438,0.141853057,1.667631934,4.224036779,3.113000221,30.1638841,36.82299052,Ftb
6974,0.958134142,2.176941894,0.929099965,NA,NA,NA,NA,NA,Fs
7152,0,0.521769451,0.023653443,NA,NA,NA,NA,NA,Fs
7180,0.331576133,1.528820394,0.421845635,NA,NA,NA,NA,NA,Ftb
7192,0.142880968,0.049630811,0.848317106,NA,NA,NA,NA,NA,Ki
7209,0.948299602,0.261722999,0.792165944,NA,NA,NA,NA,NA,Ei
7427,5.60897142,0.462531211,0.707905128,NA,NA,NA,NA,NA, 
7470,0.437878961,0.638554769,1.030774045,0.929803216,9.429066853,13.66558093,20.72361053,18.83755508,Ftb
7473,3.010270871,0,0.073564273,0.368531677,7.371827107,3.884619765,42.44164899,30.49505534,MH
7514,0.176256205,1.005422386,0.992031872,NA,NA,NA,NA,NA,Fs
7704,0.481968215,0.069460201,0.928518482,NA,NA,NA,NA,NA,Fs
7721,0.668661079,0.891044644,0,NA,NA,NA,NA,NA,Fs
7724,0,0,0,0,1.16018467,11.61021143,40.94623485,19.6803877,Zi
7736,8.348608697,0.240423443,0,NA,NA,NA,NA,NA,Fs
7738,0.364336651,2.550510633,2.069882161,NA,NA,NA,NA,NA,Ftb
7765,4.76269486,0.370272468,0,NA,NA,NA,NA,NA,Ftb
8036,7.599688245,0.6076731,1.322296538,NA,NA,NA,NA,NA,Bu
8037,1.534931522,0,0.30150697,NA,NA,NA,NA,NA,Bu
8289,1.51390948,1.434069752,0,NA,NA,NA,NA,NA,Fs
8327,4.849630401,0.114284432,0.042408688,0.226258911,2.749178304,13.2656704,47.0883583,31.79171087,MH
8333,1.102958423,0.117042093,3.63E-05,NA,NA,NA,NA,NA,Bu
8607,8.015445365,0.232354902,0.507165514,NA,NA,NA,NA,NA,MH
8621,0.206729466,0.009009888,0.049864779,NA,NA,NA,NA,NA,MH
8622,1.891942082,0.019884741,0.609267241,NA,NA,NA,NA,NA,Bu
8866,1.423342151,1.848032418,0,NA,NA,NA,NA,NA,Fs
8897,4.98938608,0.552923416,0,NA,NA,NA,NA,NA,MH
8921,0.432812268,0.037622862,0.350601429,NA,NA,NA,NA,NA,Ki
9173,0,0.165153551,0,NA,NA,NA,NA,NA,FT
9205,0,0.21849678,0,NA,NA,NA,NA,NA,Fi
9470,0,3.027565153,0.037291435,0.077136948,0.740205542,2.303368806,47.12966761,70.48711593,Ftb
9492,0.666512057,0.117485366,0.409043599,0.848171039,4.711314268,28.41467598,35.27263074,24.58226213,MH
9496,0,0.655433749,0.11688271,0,3.720019296,19.16955527,29.64434075,33.92955246,Ftb
9497,0,0.786852949,0.198110271,NA,NA,NA,NA,NA,Bu
9768,0,0.346318538,0.022516958,NA,NA,NA,NA,NA,Ftb
9806,0,6.502711818,0.668068901,NA,NA,NA,NA,NA,FT
10086,0,1.142255498,0.839407867,0.035978054,12.73861088,36.84421144,23.01467197,52.83791391,Ftb
10401,0,0,0,NA,NA,NA,NA,NA,MH
10414,0.050275135,0.157497426,0.059602249,NA,NA,NA,NA,NA,Fi
10703,0,0.300681873,0.221589531,NA,NA,NA,NA,NA,Ftb
10705,1.97089988,0.762252267,0.507423976,0.521162179,13.88308533,64.11035215,20.6061714,36.26308419,FT
10979,0.902629019,0.987513383,0.516547522,0.515425315,6.977722945,4.190439867,71.47693913,51.23664834,Bu
10998,0.122863243,0.658370058,0.765201127,NA,NA,NA,NA,NA,FT
