"id","model.climate.tableName","model.site.soilDepth","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC","model.site.pctClay","model.site.pctSilt","model.site.pctSand"
23846,"climate543",209.999993443489,NA,NA,NA,NA,NA,NA,"6","38","56"
23717,"climate535",155.724823474884,NA,NA,NA,NA,NA,176215,"2","11","87"
23585,"climate535",163.898840546608,NA,NA,NA,NA,NA,NA,"4","25","71"
23453,"climate535",165.000006556511,NA,NA,NA,NA,NA,NA,"4","25","71"
23314,"climate525",224.862828850746,571.471496709762,331.141641366755,65.3800083218997,57.75,20818.1194731035,48222.7925941118,"18","39","43"
23170,"climate525",230.733454227448,0,0,0.0235,57.75,20818.1194731035,48222.7925941118,"18","39","43"
23022,"climate525",230.79639673233,0,0,0.0235,57.75,20818.1194731035,48222.7925941118,"18","39","43"
22873,"climate517",230.983912944794,0,0,0.0235,57.75,20818.1194731035,48222.7925941118,"18","39","43"
22721,"climate517",221.465170383453,0,0,0.0235,57.75,20818.1194731035,48222.7925941118,"18","39","43"
22568,"climate527",275.418162345886,1589.76105656993,2877.48565736713,620.374755486014,64.25,107568.698516717,21391.9488673443,"12","39","49"
22415,"climate527",294.744819402695,1589.76105656993,2877.48565736713,620.374755486014,64.25,107568.698516717,21391.9488673443,"12","39","49"
22263,"climate527",296.000003814697,411.938946942693,818.805832730659,209.736281911175,64.25,107568.698516717,21391.9488673443,"12","39","49"
22109,"climate527",296.000003814697,411.938946942693,818.805832730659,209.736281911175,64.25,107568.698516717,21391.9488673443,"12","39","49"
21952,"climate500",296.000003814697,411.938946942693,818.805832730659,209.736281911175,64.25,107568.698516717,21391.9488673443,"12","39","49"
21795,"climate500",296.000003814697,411.938946942693,818.805832730659,209.736281911175,64.25,107568.698516717,21391.9488673443,"12","39","49"
21637,"climate500",282.686203718185,565.55833170354,591.479652362832,1237.40826396018,57.75,107568.698516717,21391.9488673443,"12","39","49"
21477,"climate426",294.85747218132,565.55833170354,591.479652362832,1237.40826396018,64.25,107568.698516717,21391.9488673443,"12","39","49"
21316,"climate426",296.000003814697,565.55833170354,591.479652362832,1237.40826396018,64.25,107568.698516717,21391.9488673443,"12","39","49"
21156,"climate426",296.000003814697,565.55833170354,591.479652362832,1237.40826396018,64.25,107568.698516717,21391.9488673443,"12","39","49"
20996,"climate407",296.000003814697,1589.76105656993,2877.48565736713,620.374755486014,64.25,107568.698516717,21391.9488673443,"12","39","49"
20836,"climate408",282.498687505722,411.938946942693,818.805832730659,209.736281911175,64.25,107568.698516717,21391.9488673443,"12","39","49"
20675,"climate415",281.340062618256,769.77563,941.221339,716.932469,64.25,67686.6388958978,89852.3822690977,"12","39","49"
20514,"climate415",228.531777858734,769.77563,941.221339,716.932469,57.75,67686.6388958978,89852.3822690977,"12","39","49"
20353,"climate415",290.309607982635,0,2651.159838,51.444953,64.25,67686.6388958978,89852.3822690977,"12","39","49"
20190,"climate353",296.000003814697,0,2651.159838,51.444953,64.25,67686.6388958978,89852.3822690977,"12","39","49"
20023,"climate279",296.000003814697,196.548617751351,700.599873583784,450.047934102703,64.25,67686.6388958978,89852.3822690977,"12","39","49"
19854,"climate279",340.740352869034,438.051593922481,766.018812224806,48.2425706511628,57.75,67686.6388958978,89852.3822690977,"12","39","49"
19685,"climate127",299.839407205582,438.051593922481,766.018812224806,48.2425706511628,64.25,67686.6388958978,89852.3822690977,"12","39","49"
19515,"climate127",311.402410268784,0,1799.689362,130.311613,61,107568.698516717,21391.9488673443,"12","39","49"
19344,"climate133",430.951684713364,1339.68826790262,849.909413805244,103.121593812734,61,107568.698516717,21391.9488673443,"12","39","49"
19173,"climate133",455.536335706711,1339.68826790262,849.909413805244,103.121593812734,61,107568.698516717,21391.9488673443,"12","39","49"
19003,"climate133",456.775426864624,NA,NA,NA,NA,NA,NA,"18","41","41"
18832,"climate201",329.888850450516,770.260637815385,1487.61322916923,2129.4629948,54.5,107568.698516717,21391.9488673443,"12","39","49"
18662,"climate214",319.000005722046,770.260637815385,1487.61322916923,2129.4629948,54.5,107568.698516717,21391.9488673443,"12","39","49"
18492,"climate215",333.251386880875,770.260637815385,1487.61322916923,2129.4629948,54.5,107568.698516717,21391.9488673443,"12","39","49"
18322,"climate215",306.603342294693,770.260637815385,1487.61322916923,2129.4629948,61,107568.698516717,21391.9488673443,"12","39","49"
18153,"climate228",656.746923923492,NA,NA,NA,NA,NA,NA,"24","40","36"
17986,"climate205",1708.35196971893,NA,NA,NA,NA,NA,NA,"2","11","87"
17819,"climate205",1796.0000038147,NA,NA,NA,NA,NA,NA,"8","32","60"
17653,"climate205",1796.0000038147,NA,NA,NA,NA,NA,NA,"8","32","60"
17485,"climate205",1796.7334985733,NA,NA,NA,NA,NA,NA,"12","39","49"
17317,"climate213",1796.79644107819,NA,NA,NA,NA,NA,NA,"12","39","49"
17147,"climate206",1796.79644107819,NA,NA,NA,NA,NA,NA,"12","39","49"
16977,"climate206",1796.79644107819,NA,NA,NA,NA,NA,NA,"12","39","49"
