"id","model.climate.tableName","model.site.soilDepth","model.site.pctSand","model.site.pctSilt","model.site.pctClay","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC"
18894,"climate440",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,3228.23100816505,199.481832466019,57.75,67686.6388958978,89852.3822690977
18724,"climate439",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,3228.23100816505,199.481832466019,57.75,67686.6388958978,89852.3822690977
18554,"climate436",296.000003814697,48.3800010681152,39.4700012207031,12.1599998474121,0,3228.23100816505,199.481832466019,57.75,67686.6388958978,89852.3822690977
18384,"climate436",343.890279531479,48.3800010681152,39.4700012207031,12.1599998474121,0,1799.689362,130.311613,57.75,107568.698516717,21391.9488673443
18215,"climate436",458.750694990158,48.3800010681152,39.4700012207031,12.1599998474121,0,1799.689362,130.311613,57.75,107568.698516717,21391.9488673443
18048,"climate431",577.24940776825,42.7837867736816,40.548168182373,16.6707077026367,0,1799.689362,130.311613,61,107568.698516717,21391.9488673443
17881,"climate431",607.229888439178,40.8727836608887,40.9163436889648,18.2110347747803,NA,NA,NA,NA,NA,186886.5302
17715,"climate431",609.000027179718,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,186886.5302
17547,"climate429",398.500293493271,46.3462104797363,39.8618316650391,13.7992925643921,NA,NA,NA,NA,NA,NA
17379,"climate429",380.436152219772,46.8264541625977,39.7693061828613,13.412202835083,770.260637815385,1487.61322916923,2129.4629948,61,107568.698516717,21391.9488673443
17209,"climate429",430.687636137009,55.2749824523926,38.139835357666,6.58581113815308,507.730734076271,631.361456824153,337.275507095339,54.5,23506.1640555,39835.976749
17039,"climate429",435.000002384186,56,38,6,790.920483445545,644.760381891089,525.392869138614,61,23506.1640555,39835.976749
16867,"climate424",2260.35594940186,69.9342269897461,25.6866760253906,4.38830852508545,NA,NA,NA,NA,NA,NA
16693,"climate424",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
16518,"climate424",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
16341,"climate424",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
16163,"climate422",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
15985,"climate422",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
15805,"climate409",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
15624,"climate409",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
15443,"climate409",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
15260,"climate409",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
15076,"climate409",2417.00005531311,71.129997253418,24.6299991607666,4.25,NA,NA,NA,NA,NA,NA
14892,"climate409",1867.18285083771,50.1780090332031,38.2971458435059,11.5348463058472,NA,NA,NA,NA,NA,NA
14706,"climate383",1820.00005245209,48.3800010681152,39.4700012207031,12.1599998474121,NA,NA,NA,NA,NA,NA
14520,"climate383",1820.00005245209,48.3800010681152,39.4700012207031,12.1599998474121,NA,NA,NA,NA,NA,NA
14333,"climate383",491.045117378235,48.3800010681152,39.4700012207031,12.1599998474121,155.913517666667,497.197812,16.397955,61,4815.764733,63430.10194
14145,"climate373",297.566801309586,55.3977661132812,38.1161804199219,6.48684549331665,507.730734076271,631.361456824153,337.275507095339,54.5,23506.1640555,39835.976749
13957,"climate373",290.750205516815,56,38,6,507.730734076271,631.361456824153,337.275507095339,54.5,23506.1640555,39835.976749
13771,"climate373",290.750205516815,56,38,6,507.730734076271,631.361456824153,337.275507095339,54.5,23506.1640555,39835.976749
13585,"climate379",368.495732545853,50.4111213684082,39.0781707763672,10.5180425643921,477.036539361819,726.593989965405,411.255299904364,57.75,23506.1640555,39835.976749
13400,"climate359",368.566483259201,55.5203857421875,38.0925254821777,6.38771867752075,477.036539361819,726.593989965405,411.255299904364,54.5,23506.1640555,39835.976749
13216,"climate359",338.529080152512,48.982234954834,39.3538208007812,11.6731548309326,4368.502774,42.305431,167.01717,61,42196.563378,16241.851558
13033,"climate359",594.52760219574,42.7837867736816,40.548168182373,16.6707077026367,NA,NA,NA,NA,NA,260680
12851,"climate358",673.156321048737,40.8727836608887,40.9163436889648,18.2110347747803,NA,NA,NA,NA,NA,NA
12670,"climate358",677.999973297119,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,186886.5302
12490,"climate343",677.999973297119,40.75,40.939998626709,18.3099994659424,NA,NA,NA,NA,NA,186886.5302
12312,"climate343",368.555188179016,47.7769737243652,39.5861778259277,12.6460552215576,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118
